# Directed graph: graph1000.txt 
# GEO  FWD:0.35  BCK:0.32, StartNds:1, Take2:0, Orphan:0, ProbDecay:1
# Nodes: 1000 Edges: 4361
# FromNodeId	ToNodeId
1	0
2	1
3	1
3	2
4	0
4	1
4	2
4	3
5	0
5	1
5	2
5	3
5	4
6	1
6	2
6	3
6	5
7	3
8	0
8	1
8	2
8	3
8	4
8	5
8	6
9	0
9	1
9	6
10	1
10	2
10	3
10	4
10	5
10	6
10	7
10	8
10	9
11	0
11	9
11	10
12	0
12	1
12	4
12	6
12	8
12	9
12	10
13	0
13	1
13	2
13	3
13	4
13	5
13	6
13	7
13	8
13	10
14	2
15	6
16	2
17	0
17	1
17	2
17	3
17	4
17	5
17	6
17	8
17	10
17	12
17	13
18	14
19	0
19	1
19	2
19	3
19	4
19	5
19	6
19	9
19	12
19	17
20	17
20	19
21	8
21	17
22	10
23	0
23	1
23	2
23	3
23	4
23	5
23	6
23	12
23	17
23	19
23	20
24	16
25	20
26	0
26	1
26	2
26	3
26	4
26	5
26	6
26	7
26	8
26	9
26	10
26	12
26	13
26	17
26	19
26	20
26	21
26	22
26	23
26	25
27	17
27	20
28	3
29	4
29	26
30	26
31	23
32	5
32	10
33	1
33	2
33	16
34	13
35	0
36	11
37	30
38	7
38	10
38	22
38	26
39	33
40	1
40	2
40	3
40	4
40	6
40	8
40	9
40	17
40	19
40	20
40	21
40	23
40	26
40	29
40	33
41	23
41	26
42	0
42	1
42	9
42	11
43	17
43	20
43	25
43	26
43	27
43	40
44	5
45	23
45	33
45	40
46	29
47	3
47	19
47	20
47	25
47	43
48	0
48	1
48	2
48	3
48	4
48	5
48	7
48	23
48	28
48	31
49	6
49	8
49	40
49	45
50	9
50	19
50	26
50	27
50	41
50	43
50	47
51	4
51	23
51	41
52	0
52	1
52	2
52	3
52	4
52	5
52	6
52	9
52	10
52	11
52	12
52	17
52	19
52	20
52	23
52	25
52	26
52	27
52	40
52	41
52	42
52	43
52	47
52	50
53	14
53	18
54	8
55	0
55	1
55	8
55	9
55	11
55	33
55	40
55	42
55	45
55	49
55	52
56	1
56	2
56	5
56	10
56	17
56	21
56	26
56	40
56	52
57	23
57	26
57	52
58	36
59	46
60	38
61	56
62	14
63	12
64	0
64	1
64	35
65	53
66	44
67	2
67	6
67	12
68	2
68	4
68	23
69	50
70	23
70	26
70	30
70	37
71	0
71	9
71	10
71	47
71	50
72	20
73	0
73	1
73	2
73	3
73	5
73	6
73	10
73	17
73	23
74	51
75	42
76	3
76	4
76	5
76	9
76	10
76	11
76	12
76	19
76	36
76	40
76	47
77	58
78	0
78	1
78	2
78	3
78	4
78	5
78	7
78	9
78	10
78	11
78	12
78	13
78	17
78	19
78	20
78	23
78	25
78	26
78	27
78	30
78	40
78	41
78	42
78	43
78	47
78	48
78	50
78	52
78	69
78	75
79	0
79	4
79	6
79	8
79	9
79	10
79	15
79	17
79	40
79	49
79	52
80	60
81	1
81	2
81	6
81	73
82	32
83	10
84	2
84	3
84	5
84	28
84	48
85	0
85	1
85	2
85	4
85	8
85	9
85	11
85	12
85	13
85	17
85	20
85	21
85	26
85	27
85	29
85	34
85	42
85	43
85	45
85	52
85	55
86	76
87	3
87	4
87	13
88	26
88	57
88	70
89	4
90	2
90	14
90	18
90	53
90	65
91	24
92	2
92	3
92	7
92	10
92	11
