# Directed graph: graph10000.txt 
# GEO  FWD:0.35  BCK:0.32, StartNds:1, Take2:0, Orphan:0, ProbDecay:1
# Nodes: 10000 Edges: 49228
# FromNodeId	ToNodeId
1	0
2	0
2	1
3	0
4	1
5	1
5	4
6	1
6	4
7	0
8	5
9	7
10	0
10	1
10	2
10	4
10	5
10	8
11	7
12	9
13	1
13	2
13	10
14	6
15	5
16	6
16	14
17	3
18	5
18	8
19	0
19	7
20	15
21	5
21	15
21	20
22	0
22	3
23	22
24	6
25	0
26	1
26	6
26	16
27	25
28	8
28	10
28	13
28	18
29	0
29	7
30	14
30	16
30	26
31	7
31	11
32	22
32	23
33	7
33	9
33	12
34	8
34	10
34	13
34	18
34	28
35	8
35	10
36	6
37	20
38	4
38	6
38	16
39	37
40	4
40	6
40	38
41	35
42	16
42	30
43	6
43	14
44	37
44	39
45	7
45	9
46	45
47	45
47	46
48	30
49	48
50	24
51	8
52	9
53	52
54	30
54	42
54	48
55	4
55	8
55	10
55	35
55	41
56	0
56	1
56	4
56	5
56	6
56	8
56	21
56	35
56	40
56	41
56	55
57	17
58	0
58	7
59	22
60	7
60	11
60	29
60	58
61	1
61	4
61	5
61	8
61	10
61	18
61	28
61	34
61	35
61	41
62	14
62	16
62	26
62	30
62	38
62	42
63	1
63	4
63	6
63	16
63	38
63	55
64	58
65	0
65	1
65	2
65	6
65	10
65	13
65	16
65	24
65	26
65	56
65	62
66	22
66	59
67	13
68	9
68	12
69	57
70	29
71	37
71	39
71	44
72	58
73	44
74	0
74	1
74	7
74	11
74	25
74	31
74	65
75	6
75	36
76	58
76	72
77	21
78	4
79	44
79	71
80	0
80	3
80	17
80	22
80	57
81	74
82	63
83	22
83	23
83	59
84	19
85	11
86	0
86	1
86	4
86	7
86	26
86	55
86	63
87	0
88	3
89	86
90	66
91	25
92	51
93	1
93	4
93	5
93	8
93	10
93	15
93	18
93	20
93	21
93	28
93	34
93	35
93	37
93	39
93	41
93	44
93	55
93	61
93	71
94	1
94	6
94	8
94	10
94	13
94	24
94	50
94	56
94	65
95	67
96	45
97	1
97	6
97	14
97	40
97	43
97	56
98	10
98	35
98	41
99	36
99	75
100	20
100	37
101	4
101	20
101	34
101	37
101	61
